,ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_Site,Metadata_Site.1,Metadata_Well,Metadata_Well.1,Metadata_experiment,Metadata_fldr,Metadata_ilastik,Metadata_time,Metadata_time.1,Area,Center_X,Center_Y,Center_Z,Compactness,Eccentricity,EulerNumber,Extent,FormFactor,MajorAxisLength,MaxFeretDiameter,MaximumRadius,MeanRadius,MedianRadius,MinFeretDiameter,MinorAxisLength,Orientation,Perimeter,Solidity,Zernike_0_0,Zernike_1_1,Zernike_2_0,Zernike_2_2,Zernike_3_1,Zernike_3_3,Zernike_4_0,Zernike_4_2,Zernike_4_4,Zernike_5_1,Zernike_5_3,Zernike_5_5,Zernike_6_0,Zernike_6_2,Zernike_6_4,Zernike_6_6,Zernike_7_1,Zernike_7_3,Zernike_7_5,Zernike_7_7,Zernike_8_0,Zernike_8_2,Zernike_8_4,Zernike_8_6,Zernike_8_8,Zernike_9_1,Zernike_9_3,Zernike_9_5,Zernike_9_7,Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_pplt
142,4,1,,0,0,1,1,A1,A1,,,,3,3,12243,436.0,69.0,1.0,3.214430803618177,0.924552234032164,1.0,0.3036458333333333,0.0319749419477302,295.19312150636387,265.32432983049256,25.0,5.734638835878256,4.242640687119285,122.97173617878596,112.4849131135874,82.73868486636006,2193.531999999999,0.4137336735211124,0.2214140861461171,0.0171509572678846,0.0611721347216372,0.0599534768593685,0.0169088965782463,0.0106234357356266,0.0137424274636359,0.0431620139302069,0.0136126848689034,0.011185488436854,0.00994180624139,0.0069055923208771,0.0127551881838631,0.0181157363251842,0.0168015233187707,0.0087647878630182,0.0077059309425802,0.0069465822881701,0.0053527737614372,0.0046623925076452,0.0079988345998719,0.0145457349232512,0.0108212870757449,0.0021621064382332,0.0097607034609292,0.0087951166287881,0.006667358349471,0.0028984482687741,0.0055953870647192,0.0029908127653127,431.8122192273136,114.7119170138038,0,1,1
143,4,2,,0,0,1,1,A1,A1,,,,3,3,878,500.0,18.0,1.0,1.0911008170290302,0.5387005127713407,1.0,0.5787738958470666,0.4701945255216598,37.780540000531765,40.311288741492746,13.0,4.757964310021219,4.182873156368473,34.0,31.830004221761204,23.883613513336982,153.18399999999994,0.8377862595419847,0.6460221757347887,0.0346472974268087,0.18763090222274,0.0394357520040812,0.0112206715144194,0.0513047430724966,0.0328398355132501,0.0173168953211082,0.0188924294120581,0.0145114088791197,0.0267079284761211,0.0069354713605211,0.0111480982365319,0.0117573568000136,0.0057937833643109,0.0050461860020457,0.00472495216905,0.0122169544533419,0.0035279395616628,0.0128525290936629,0.0018254236766139,0.005255966735936,0.0079384843259267,0.0043446326308865,0.0063192316864617,0.0068277981639526,0.0059747232438508,0.0106302413583028,0.0040440206297739,0.0036843023080641,497.9521640091117,16.265375854214124,0,2,2
144,4,3,,0,0,1,1,A1,A1,,,,3,3,1550,1058.0,39.0,1.0,2.0241461967084144,0.69999850358059,1.0,0.293560606060606,0.0806584825409841,72.66511786156377,86.81589716175257,11.0,3.1898179791827617,2.23606797749979,58.12742685522032,51.893380429837336,-64.2294103848174,491.41199999999856,0.4761904761904761,0.2614370935161576,0.0363621754929122,0.113222011083985,0.0174974546174517,0.0217058697630144,0.0161162617398987,0.0561154539051592,0.0191961423268327,0.0284197290859394,0.0178118788040449,0.001345626812199,0.0082694986252018,0.0238668114588858,0.0162673926077012,0.0149256953873844,0.0036106736218655,0.0045870332115155,0.0095157973309047,0.0108351001494044,0.0090997682969064,0.001990731149623,0.0109572322307171,0.0087074715846674,0.0012869972117407,0.0114542345512445,0.0049842314594818,0.0089526182334436,0.0107756533853773,0.0062287455430394,0.0023781440296885,1059.9122580645162,42.77741935483871,0,3,3
145,4,4,,0,0,1,1,A1,A1,,,,3,3,3273,796.0,42.0,1.0,2.930649751595928,0.9125663790768592,1.0,0.2656655844155844,0.0352553248313667,144.4129191660304,153.08167754502824,11.40175425099138,3.1529995874719448,2.23606797749979,72.05079181070312,59.05457354169218,-8.460532662761898,1080.1039999999964,0.4046485751375409,0.1778319121753941,0.0235693310474292,0.0789048676442365,0.031491049827094,0.0263350002991951,0.008847176548862,0.028422552259217,0.0204508928779651,0.0158066274361394,0.0129423976828038,0.0107489706897273,0.0058525348035468,0.012998673109437,0.0151082932368699,0.0104409840289076,0.009097495049477,0.0027729009029184,0.0077593267712894,0.0056591804373803,0.0047322210337056,0.0067890740399926,0.0093927040561791,0.003434698354227,0.0073737686567431,0.0053960351140731,0.008242086184417,0.0068132708501431,0.0051520301719603,0.0055754491977432,0.0035127781008662,774.9755575924229,45.96944699052857,0,4,4
146,4,5,,0,0,1,1,A1,A1,,,,3,3,873,0.0,60.0,1.0,1.7161574491193752,0.6502912358479302,1.0,0.4546875,0.1383395851413284,49.166961208676646,59.20304046246274,12.529964086141668,3.8888258435416247,2.8284271247461903,39.0,37.35140322852189,-18.971892615155785,281.60399999999964,0.5722713864306784,0.3171292789026525,0.03263746552208,0.1378158519024918,0.0208423437851999,0.0316057696236191,0.0151858181457706,0.0156320425453129,0.0343389848539125,0.0209177249282152,0.0287042180233059,0.0184876353793676,0.0052290149337478,0.0100012054315549,0.0265512998905813,0.0163656475179457,0.007139540501183,0.0188838028573272,0.01415092074275,0.0053945627844556,0.0047168281947764,0.006055792900276,0.0120345900314977,0.0001466705029541,0.0051560818272073,0.0083385617661639,0.0040308340516977,0.014246026692612,0.0053760112316057,0.0092156686435886,0.0027014068228695,16.029782359679267,63.17640320733104,0,5,5
147,4,6,,0,0,1,1,A1,A1,,,,3,3,1079,641.0,94.0,1.0,1.4614877654128011,0.6142600329307017,1.0,0.3425396825396825,0.1378360692493056,49.72673604829826,62.28964600958975,11.31370849898476,3.8177017939430726,3.1622776601683795,46.485481604475176,39.23955022591648,-1.0668732269418737,313.64199999999926,0.5303514376996805,0.3533971467911238,0.1065387617890989,0.1067665859757205,0.035807114583772,0.0557486473254524,0.0097235302424045,0.0122254613762902,0.0291133920918574,0.0308545973011073,0.0139065000631028,0.0003747223109994,0.0132972096633527,0.0171300951561957,0.0114164065957091,0.0210705923364203,0.0104809821751828,0.0107374413236934,0.0030331276663384,0.0126451212090459,0.0066789548132188,0.0083970940513377,0.0084054548783243,0.0042832635145236,0.0019503214024459,0.0030051941059662,0.0040335182893649,0.0063098611823441,0.0029460946340453,0.0060105354722527,0.0018555495397025,642.2372567191844,89.29564411492122,0,6,6
148,4,7,,0,0,1,1,A1,A1,,,,3,3,1969,272.0,113.0,1.0,1.2752400877034809,0.7127927181151436,1.0,0.4524356617647059,0.1560195094742327,65.41057393258376,75.47184905645281,14.422205101855956,4.928324203635134,4.123105625617661,52.32590180780452,45.87732498895864,68.55510780006419,398.23399999999896,0.6530679933665009,0.4303202296206141,0.0796956968487018,0.1648890825195365,0.0396636962553335,0.034946480514677,0.0180266867845972,0.023308229542847,0.0330787515232163,0.0025703663753672,0.0156760699247125,0.0138772908886184,0.0105499401330284,0.0092901859948035,0.015019483343332,0.0031365833381836,0.0127555471913251,0.0096601829107832,0.0038265381428481,0.0052780699856902,0.0139535298418233,0.0002545973127838,0.0025304388643453,0.0020326699737548,0.0189278388857166,0.0048610163232831,0.0038296421410806,0.0050277466709934,0.0116662697048512,0.01577277964833,0.0021449304242116,268.4560690705942,104.87557135601828,0,7,7
149,4,8,,0,0,1,1,A1,A1,,,,3,3,1580,1306.0,113.0,1.0,1.6158997811415885,0.7356783655949521,1.0,0.3918650793650793,0.1351388591264728,66.70155967411243,70.09279563550022,12.16552506059644,3.771378835812919,3.0,47.505108084474955,45.17903701255216,-41.301038933092734,383.30399999999895,0.5736068251951352,0.4039779568240156,0.0710005768914599,0.1153804155437598,0.0585883721557926,0.027715962738662,0.0148379646158861,0.00222597389009,0.0288192401112266,0.0167316678439674,0.0156419099972847,0.0246123214960406,0.0195828495294537,0.0073550020421179,0.0075148108259235,0.0163397547879787,0.0115149951144075,0.0188402761735777,0.0255330462771389,0.0186185622960357,0.0083962956647695,0.0195070246825181,0.0102211514404304,0.0091391587165012,0.006952953718073,0.0056330083460547,0.0104941555818566,0.0120828753289002,0.0074743449730603,0.0108451532878168,0.0046367483690564,1301.28417721519,118.4487341772152,0,8,8
150,4,9,,0,0,1,1,A1,A1,,,,3,3,10416,79.0,187.0,1.0,2.6607308438528112,0.8643327587415828,1.0,0.3178516936222154,0.0302530477032946,236.8534425831673,232.3553313354355,25.942243542145693,5.9047711508436445,4.123105625617661,142.19319938061724,119.11841711909076,82.56850930804667,2080.035999999994,0.4021854547560668,0.2452958141744181,0.0221847830386268,0.0811867172248367,0.0465285601311786,0.037745250985536,0.0118943642514654,0.0035038437142083,0.0379336077088402,0.0071101573930793,0.0286816825146164,0.0132094361724792,0.0090792928847505,0.0074320485823316,0.0171533752540537,0.0143620723324766,0.0080609100444931,0.0154191928460238,0.0066824381190653,0.0072273200124682,0.0058645177803,0.0037457203409043,0.0077457708290176,0.0113169885283423,0.0027277142294269,0.0096467019291581,0.0049540378979783,0.0030530969295679,0.0045638027548993,0.0062383462984459,0.0025266682318748,79.25662442396313,224.09946236559136,0,9,9
151,4,10,,0,0,1,1,A1,A1,,,,3,3,9517,977.0,271.0,1.0,1.8416293733521691,0.8992863309494046,1.0,0.3669134088981417,0.0593282731117656,193.18979507561556,199.6121238802894,23.345235059857504,7.433375679880287,6.4031242374328485,96.46671578193232,84.49356063459801,71.18544334323708,1419.7899999999945,0.5801633747866373,0.3030723830057292,0.0155117839574756,0.1324077472132392,0.0566200198706919,0.0264835938346958,0.0057866745489465,0.027807669322797,0.0447902802906095,0.0209714545838129,0.0239166961650521,0.0055389544661149,0.0066222317002812,0.010023379259403,0.0162648386528662,0.0177504131129745,0.010047060557756,0.0113999422959297,0.0060322660173381,0.0071932112782625,0.0058466125672216,0.0206691116514798,0.002262420257697,0.0060210570539148,0.0105234228023784,0.0056562825706357,0.0062936240523833,0.0026764765321982,0.0056346185150131,0.005960507770114,0.0045367247459517,960.9950614689504,241.21613953977092,0,10,10
