,mean,std
0,1.0,1.3228756555322954
1,1.0,1.224744871391589
2,0.8888888888888888,1.2692955176439846
3,0.6666666666666666,0.9999999999999999
4,0.5555555555555556,0.7264831572567789
5,0.8888888888888888,1.6158932858054431
6,0.6666666666666666,0.9999999999999999
7,0.8888888888888888,1.2692955176439846
8,0.8888888888888888,1.1666666666666667
9,0.7777777777777778,0.8333333333333334
10,0.8888888888888888,1.0540925533894598
11,0.5555555555555556,0.881917103688197
12,1.0,1.0
13,0.7777777777777778,1.092906420717
14,1.4444444444444444,0.726483157256779
15,2.111111111111111,1.536590742882148
16,1.1111111111111112,0.927960727138337
17,1.1111111111111112,1.1666666666666667
18,0.7777777777777778,0.6666666666666666
19,1.1111111111111112,1.536590742882148
20,1.3333333333333333,1.4142135623730951
21,1.5555555555555556,0.8819171036881969
22,1.2222222222222223,1.092906420717
23,1.4444444444444444,1.5898986690282426
24,0.4444444444444444,1.0137937550497034
25,1.5555555555555556,1.3333333333333333
26,1.6666666666666667,1.0
27,1.6666666666666667,1.118033988749895
28,1.8888888888888888,1.364225461978742
29,1.6666666666666667,1.7320508075688772
30,1.2222222222222223,1.2018504251546631
31,1.7777777777777777,1.5634719199411433
32,1.6666666666666667,1.9364916731037085
33,1.3333333333333333,1.3228756555322954
34,1.3333333333333333,2.06155281280883
35,1.2222222222222223,1.7159383568311666
36,0.8888888888888888,1.2692955176439846
37,1.3333333333333333,1.3228756555322954
38,3.5555555555555554,2.697735676039774
39,1.4444444444444444,1.130388330520878
40,2.0,1.3228756555322951
41,1.4444444444444444,1.3333333333333333
