,ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_Site,Metadata_Site.1,Metadata_Well,Metadata_Well.1,Metadata_experiment,Metadata_fldr,Metadata_ilastik,Metadata_time,Metadata_time.1,Area,Center_X,Center_Y,Center_Z,Compactness,Eccentricity,EulerNumber,Extent,FormFactor,MajorAxisLength,MaxFeretDiameter,MaximumRadius,MeanRadius,MedianRadius,MinFeretDiameter,MinorAxisLength,Orientation,Perimeter,Solidity,Zernike_0_0,Zernike_1_1,Zernike_2_0,Zernike_2_2,Zernike_3_1,Zernike_3_3,Zernike_4_0,Zernike_4_2,Zernike_4_4,Zernike_5_1,Zernike_5_3,Zernike_5_5,Zernike_6_0,Zernike_6_2,Zernike_6_4,Zernike_6_6,Zernike_7_1,Zernike_7_3,Zernike_7_5,Zernike_7_7,Zernike_8_0,Zernike_8_2,Zernike_8_4,Zernike_8_6,Zernike_8_8,Zernike_9_1,Zernike_9_3,Zernike_9_5,Zernike_9_7,Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_pplt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taxol 1,107,52,,0,0,1,1,C6,C6,,,,18,18,1480,580,944,1,6.995797706,0.914169058,1,0.130649718,0.037768007,150.2216566,144.0312466,6.708203932,2.096328327,1.414213562,68.45395842,60.88981185,52.08241464,701.736,0.229173119,0.090836082,0.020487586,0.023870671,0.017408115,0.027622298,0.002242881,0.009215219,0.008092668,0.011078357,0.013110829,0.005017643,0.004288874,0.009661153,0.011758649,0.008584093,0.007405869,0.00616146,0.003106365,0.004147152,0.002649481,0.005790097,0.007178223,0.003702437,0.007885268,0.004720734,0.004528804,0.007961416,0.002561087,0.002898221,0.001807418,563.302027,918.2175676,0,52,52
t2,107,5,,0,0,1,1,C6,C6,,,,18,18,2284,816,112,1,4.026263161,0.844927533,1,0.142607393,0.027100816,134.7134001,149.5760676,7.280109889,2.240155645,2,84.30146221,72.05561037,-28.83223447,1029.11,0.262137037,0.129792056,0.03415656,0.043988181,0.014739901,0.026553628,0.00340868,0.003367187,0.009451054,0.010151231,0.018944967,0.007639114,0.007714737,0.003509029,0.001289268,0.006543572,0.005845768,0.01017614,0.010268296,0.009131103,0.004364187,0.004641445,0.00842236,0.007427977,0.004183691,0.000515033,0.004112502,0.006987659,0.004398237,0.005258489,0.000814387,818.7570053,91.13660245,0,5,5
taxol 3,107,53,,0,0,1,1,C6,C6,,,,18,18,878,1095,875,1,10.7520411,0.938354312,1,0.108878968,0.034881506,146.2865701,125.7656551,5.385164807,1.702343185,1,58.48523409,50.56760577,-3.686288429,562.412,0.171517875,0.070347681,0.014636814,0.011079153,0.017873397,0.014909519,0.007352475,0.001316258,0.008110766,0.013853816,0.009266957,0.010987939,0.002344395,0.000472838,0.005783866,0.004781702,0.009919837,0.006028395,0.004394596,0.005038707,0.002408163,0.001304052,0.001062311,0.002824896,0.005840706,0.006488224,0.004347271,0.006328778,0.001728167,0.005460041,0.00163648,1042.765376,883.2232346,0,53,53
