DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PPLT 1,,,,,,,,,,PPLT 2,,,,,,,,,,PPLT 3,,,,,,,,,
,Node_1,Node_2,Distance,Node_1_xy,Node_2_xy,Node_1_Label,Node_2_Label,Node_1_Kind,Node_2_Kind,,Node_1,Node_2,Distance,Node_1_xy,Node_2_xy,Node_1_Label,Node_2_Label,Node_1_Kind,Node_2_Kind,,Node_1,Node_2,Distance,Node_1_xy,Node_2_xy,Node_1_Label,Node_2_Label,Node_1_Kind,Node_2_Kind,
,6581,6588,2,"287, 613","288, 614",1910,1910,E,B,,5040,5060,3,"978, 433","976, 434",1401,1401,B,E,,8130,8139,2,"1165, 834","1166, 835",2315,2315,T,T,
,6588,6630,8,"288, 614","289, 621",1910,1910,B,T,,,,,,,,,,,37,8139,8147,4,"1166, 835","1169, 836",2315,2315,T,T,
,6630,6631,2,"289, 621","290, 621",1910,1910,T,B,,4476,4543,6,"918, 392","918, 397",1322,1322,E,B,,8130,8153,17,"1165, 834","1149, 837",2315,2315,T,E,
,6588,6632,14,"288, 614","300, 621",1910,1910,B,E,,4542,4543,2,"917, 397","918, 397",1322,1322,E,B,,8147,8158,7,"1169, 836","1175, 838",2315,2315,T,B,
,6631,6646,3,"290, 621","291, 623",1910,1910,B,T,,4543,4627,8,"918, 397","915, 404",1322,1322,B,T,,8140,8159,7,"1183, 835","1177, 838",2315,2315,E,B,
,6646,6717,12,"291, 623","300, 630",1910,1952,T,B,,4627,4663,4,"915, 404","915, 407",1322,1322,T,T,,8158,8159,3,"1175, 838","1177, 838",2315,2315,B,B,
,,,,,,,,,,41,4663,4796,15,"915, 407","919, 419",1322,1322,T,E,,8159,8189,4,"1177, 838","1176, 841",2315,2315,B,E,
,6710,6837,17,"331, 629","345, 641",1940,1940,E,T,,,,,,,,,,,35,8158,8251,11,"1175, 838","1168, 847",2315,2315,B,E,
,6837,6873,4,"345, 641","346, 644",1940,1940,T,T,,4366,4400,3,"913, 384","912, 386",1286,1286,E,T,,,,,,,,,,,75
,6873,6978,13,"346, 644","342, 656",1940,2014,T,B,,4400,4446,4,"912, 386","912, 389",1286,1286,T,T,,8143,8148,4,"1248, 835","1251, 836",2334,2334,E,B,
,,,,,,,,,,34,,,,,,,,,,7,8148,8167,8,"1251, 836","1244, 839",2334,2334,B,B,
,6719,6728,2,"324, 630","324, 631",1942,1942,E,B,,4452,4475,5,"911, 390","911, 392",1313,1313,T,B,,8094,8168,15,"1259, 826","1261, 839",2334,2334,E,B,
,6728,6768,6,"324, 631","320, 635",1942,1942,B,T,,,,,,,,,,,,8148,8178,6,"1251, 836","1256, 840",2334,2334,B,B,
,6768,6780,4,"320, 635","317, 636",1942,1942,T,T,,3633,3748,14,"902, 343","914, 352",1068,1068,E,T,,8168,8179,2,"1261, 839","1260, 840",2334,2334,B,T,
,6780,6814,5,"317, 636","313, 639",1942,1956,T,B,,3748,3749,5,"914, 352","918, 352",1068,1068,T,T,,8178,8179,5,"1256, 840","1260, 840",2334,2334,B,T,
,6728,6915,27,"324, 631","331, 650",1942,1942,B,E,,3749,3768,6,"918, 352","923, 353",1068,1068,T,E,,8178,8191,9,"1256, 840","1248, 841",2334,2334,B,E,
,,,,,,,,,,44,3748,3788,3,"914, 352","916, 354",1068,1068,T,T,,8178,8192,2,"1256, 840","1256, 841",2334,2334,B,B,
,7294,7319,9,"334, 676","326, 678",2096,2096,E,B,,3749,3788,3,"918, 352","916, 354",1068,1068,T,T,,8179,8192,5,"1260, 840","1256, 841",2334,2334,T,B,
,7318,7319,2,"325, 678","326, 678",2096,2096,E,B,,3788,3900,14,"916, 354","914, 359",1068,1068,T,E,,8191,8192,9,"1248, 841","1256, 841",2334,2334,E,B,
,7321,7333,2,"349, 678","349, 679",2096,2096,E,B,,,,,,,,,,,45,8168,8193,5,"1261, 839","1264, 841",2334,2326,B,T,
